"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2032,6.3,-7.9,1.4,5.1,4.9,5.3,2.6,3.2,0.2,NA,5.4,5.4,5.8,6.1,2.7,2.2,5.6,NA,4.9,3.5
2033,5.4,-2.4,4.4,4.7,4.7,4.3,3.1,3.1,1.2,NA,4.8,5.9,6.7,6,2.8,2.1,5.9,NA,5.6,4
2034,5.7,-2.3,2.6,4.4,4.2,4.8,3.2,2.2,1.1,NA,5.8,5.4,7.3,5.1,2.4,1.7,5.5,NA,4.7,3.8
2035,5.8,-4.2,3.9,4.8,5.3,5.4,2.6,3.9,2,NA,5.7,5.1,7,7.5,2.4,2.5,4.9,NA,6.3,4.2
2036,5.6,-6.7,1.5,4.4,4.8,6.1,2.6,4.1,0.4,NA,5.9,5.7,8.2,6.9,2.9,2.7,5.3,NA,5.7,3.9
2037,6.4,-4.8,1.6,4.7,4.3,5.2,2.8,4.2,0,NA,5.3,5.2,7.1,5.7,3.2,3,5.4,NA,6,3.8
2038,6.3,-9.3,2.6,5.5,4.5,4.3,3.3,3.1,1.4,NA,5.4,5.1,7.8,6.2,2.6,2.8,5.6,NA,6.1,3.7
2039,7,-0.8,2.6,5.3,5.2,5.7,2.4,2.9,1.5,NA,5.8,6.1,7.3,6.1,3.1,2.5,5.9,NA,6.5,4.4
2040,6.1,-3.2,2.7,5.8,5.1,5.3,1.8,2.7,1.1,NA,5.6,6.1,5.6,6.6,2.2,2.3,5.7,NA,6.5,4
2041,6.2,-1.9,3.4,5.3,4.9,5.6,3.6,2.9,1.4,NA,5.2,6,7.7,6,2,2.9,5,NA,5.6,4.2
2042,6.9,-1.1,3.3,5.6,4,6.1,2.9,4.4,1.1,NA,5.9,6.2,7.1,6.4,3,3.3,6.1,NA,6.1,4.5
2043,6.5,-0.5,1.2,5.3,5.5,5.8,2.5,2.4,0.8,NA,6.3,5.2,7.5,7.4,2.7,3.1,6.3,NA,6.9,4.4
2044,7.4,-3.9,5,5.6,6,5,4.3,3,2.5,NA,6.5,6.3,5.2,6.2,2.6,2.8,4.9,NA,6.5,4.5
2045,6.7,-2.3,1.8,6,4.6,5.4,4.4,4.4,-0.2,NA,5.8,7.2,8.7,6.3,2.4,3.3,6.5,NA,6.7,4.6
2046,6.7,-3.7,4.4,6,5.8,5.8,3.4,2.4,1.2,NA,6,6.6,8.6,7.6,3.3,2.8,5.6,NA,6.4,4.6
2047,6.5,-3.5,3.3,5.5,4.8,4.8,4.1,1.6,1.3,NA,6.3,5.3,6.1,6.4,3,2.3,6.2,NA,6.1,4.1
2048,6.7,0.1,2.9,5.7,4.7,7.1,3.3,2.1,1.1,NA,6.1,6.4,6.8,7,2.7,3.3,5.6,NA,7.1,4.6
2049,6.5,-0.6,2.5,5.8,4.8,6.3,3.6,3.8,0.4,NA,5.9,7.1,8.4,7.2,2.6,3,6.1,NA,6.8,4.7
2050,8.1,-1.8,3.9,6.2,5.8,5.5,3.3,1.9,1.2,NA,6,6.3,6.3,5.9,3.4,3.3,6.2,NA,6.2,4.6
2051,7.5,-5.9,3.2,6.4,5.9,5.5,5.3,2.4,1.5,NA,6,7,7.8,7.6,3,2.9,5.7,NA,7.6,4.7
2052,7.6,-4.4,4.1,6.2,5.7,5.5,4.9,1.4,1.1,NA,6.1,6.9,5.4,7,2.6,3.3,5.7,NA,8.4,4.6
2053,7.7,-1.8,5.5,6.5,5.8,6.4,3.9,2,2.2,NA,6.7,6.7,6.5,7.5,3.3,2.9,6.4,NA,6.2,5
2054,7.1,-0.3,4.4,6.8,6.1,6.1,3.8,4.3,1,NA,6.3,6.5,8.3,7.7,2.8,3,5.9,NA,7.4,5.1
2055,7.6,-0.4,5.9,6.2,5.7,5.2,3.7,1.9,1.7,NA,6.8,7.1,6.9,7,3.5,3.9,5.7,NA,7.2,5
2056,7.3,0.6,2.2,6.8,6.2,5.2,4.7,5.3,2.5,NA,6.6,7,4.5,8.3,3,3.5,6,NA,6.5,5.1
2057,8,-1.2,3.5,6.3,5.5,6,4.6,3,1.8,NA,6.3,7,5,7,2.4,4,6.2,NA,8,4.9
2058,7.2,-3.8,5.6,6.5,4.7,6,5.6,4.2,1.6,NA,6.7,7.3,7.7,8.8,3.6,3.9,5.4,NA,7.5,5.2
2059,7.4,-2.4,3.3,6.9,5.2,7.5,4.7,3.5,1.6,NA,6.8,8,6.4,7.1,3.2,3.9,5.7,NA,7.4,5.1
2060,7.6,-1.5,4.6,7,4.8,6,4.2,3.5,3.4,NA,6.3,7.3,6.3,7.4,3.5,3.9,6.7,NA,8.5,5.3
2061,8,-0.5,3.2,7,5.1,5.1,5.4,3.2,2.5,NA,6,7.3,6.4,7.6,3.2,3.5,6.5,NA,8.6,5.2
2062,8.2,-6.1,4.1,7.3,5.3,7,5.3,3,2.7,NA,7.2,7,5.8,7.1,2.9,3.4,6,NA,8.6,5
2063,8.2,-6.9,2,7.2,5.4,6.7,5.1,3.7,2,NA,6.8,7.1,8,8.3,3.5,3.9,6.4,NA,7.2,5
2064,7.6,-3.4,3,7.6,5.2,6.2,4.8,0.7,2,NA,6.4,8.4,7.7,6.3,3.9,4,6,NA,8.1,5
2065,8.8,-4.3,4.2,8,5.3,6.9,3.6,3.1,1.5,NA,6.3,7.7,8.7,6.9,3.6,3.4,5.8,NA,8,5.1
2066,8.4,-2.3,3.2,7.4,6.2,6.4,5.6,3.2,1.8,NA,5.9,7.5,10,8,4.5,3.8,5.8,NA,7.7,5.5
2067,7.8,-3.5,4.6,7.7,5.8,7.4,5.4,5.5,1.4,NA,6.9,8.2,6.8,7.2,3.3,3.4,6.6,NA,7.9,5.4
2068,8.2,-2.5,4.6,7.8,6,6.3,4.5,3.2,2.2,NA,7.1,8.1,7.1,6.7,4.2,3,6.7,NA,8.3,5.4
2069,8.3,-6.3,4.8,7.8,5.8,7,5.7,4.3,1.4,NA,6.8,8.6,7.1,8,4,3,6.6,NA,8,5.3
2070,8.5,-1.4,4.9,7.6,5.1,5.9,6.1,3.5,2.2,NA,6.9,7.6,6.4,5.7,3.5,3.4,6.7,NA,7.7,5.3
2071,8.2,-1.4,2,7.3,6.3,6.5,5.9,5,2.2,NA,6.9,8.2,7.8,7.2,3.7,3.5,6.9,NA,8,5.5
2072,8.3,-0.6,3.6,7.4,6.2,6.9,4.2,5.2,1.7,NA,6.9,8,8.5,7.8,4,4.2,6.2,NA,8.6,5.7
2073,9.5,-2.6,2,8.5,5.2,7.4,5.3,2.2,2.9,NA,6.5,7.9,7.9,8.7,4,4.6,6.3,NA,7.9,5.5
2074,9,-0.7,3.9,8,5.4,7.3,5.9,6,2.4,NA,6.7,8.8,6.7,7.5,3.5,4.1,6.2,NA,8.5,5.8
2075,8.4,2.3,4.1,7.9,6.9,7,6.3,3.9,2.9,NA,6.8,8.1,8.2,7,3.5,4.1,6.2,NA,8.2,6
2076,8.9,-3.3,3.6,8.6,5.7,6.8,5.3,3.1,3,NA,7.2,8.2,7.1,8.2,4.3,4.2,6.6,NA,9.4,5.7
2077,8.7,-3.3,1.3,8.3,6.7,7.4,5.6,4.4,4.1,NA,7.4,7.9,6.8,7.5,4.2,3.8,7.5,NA,9,5.7
2078,8.7,-1.5,3.6,8.5,6.4,8,4.9,5.6,2.4,NA,6.7,8.6,8.2,7.7,3.4,3.9,7.2,NA,9.6,6
2079,9.2,-1.9,3.2,9.3,6.2,8.3,4.5,1.1,3,NA,7.3,8.8,9.3,8.5,4.1,4.7,6,NA,9.1,5.9
2080,7.9,-2.1,5.1,9,6,8.4,6.9,3.7,2,NA,6.8,8.3,9.2,8.7,4.4,4.9,7.3,NA,9.8,6.3
2081,9.2,1.7,6.8,8.6,6.6,7.8,5.7,5.1,2.2,NA,7.6,8.8,7.7,8.2,4.3,4.1,6.8,NA,8.7,6.5
2082,9,0.9,6.1,8.3,6.8,7.9,6.5,4.8,1.3,NA,6.6,9.1,8,8.7,4,4.8,7.3,NA,9.8,6.5
2083,8.8,-2,6,9.2,7.5,5.7,6,6.4,3.3,NA,7.5,8.4,8.2,8.7,4.3,5.1,6.5,NA,9.3,6.4
2084,8.9,-0.9,4.1,8.6,6.8,7.1,6.1,6.3,2.8,NA,7.2,8.7,8,8.8,4.4,4.5,7.3,NA,9.5,6.4
2085,9.5,1.6,6.8,9.1,7.1,7.3,6.2,3.7,2.5,NA,7.2,9.2,6.6,8.3,4.3,5.1,6.5,NA,9.3,6.5
2086,8.9,0.5,6,9,6.6,7.7,7.3,5.7,2.5,NA,7.9,9.8,7.3,7.8,3.2,4.2,7.8,NA,9.2,6.6
2087,9.8,-1.7,6.1,8.6,7.4,6.9,5.7,4.3,3.8,NA,7.1,10.5,8.5,7.8,4.6,4.7,7.2,NA,10.4,6.6
2088,9.7,-2,3.1,9.3,6.8,7.4,6.4,6.3,2.4,NA,7.1,9.7,8.2,8.2,4.3,4.2,6.1,NA,9.3,6.3
2089,9.3,-5,4.3,8.9,7.4,7.7,6.1,4.5,3.2,NA,6.8,9.6,8.2,8.4,4,4.4,7.6,NA,10.1,6.2
2090,9.4,-1.2,3.9,9.5,7.9,8.9,6.8,5.1,3,NA,6.9,9.9,8,9.3,4.3,4.4,8.5,NA,9.2,6.7
2091,9.4,1.1,5.4,9.6,8.2,8,7.8,6.4,2.6,NA,7.1,9.6,6.7,8.7,4.6,4.7,7.7,NA,10.3,6.9
2092,8.7,-4,2.9,9.6,7.7,7.3,7,6.4,2.9,NA,7.2,10,9.1,7.1,4.4,4.7,7.1,NA,10.1,6.4
2093,9.6,-0.7,5.8,9.3,7.5,9.8,7.3,6.3,2.5,NA,7.1,10,9.5,7.8,5,5.1,7.4,NA,10,7
2094,9.6,-4.2,5.2,9.8,8,8.2,6.9,4,2.9,NA,7.8,10.9,8.6,9.1,4.8,4.5,7.1,NA,9.8,6.6
2095,10.6,1.2,5.4,10,7.8,8.2,6.9,3.9,2.8,NA,8.2,9.5,8.7,9.8,4.6,4.4,7.2,NA,10.2,7
2096,9.7,-4.5,5.3,9.6,7.8,8.9,8.3,5.7,2.7,NA,7.4,10,10.1,9.3,4.5,6,6.9,NA,10.8,7
2097,10.5,0.2,5.1,9.5,6.9,7.9,7.2,6.1,4.1,NA,7.3,10.7,8.9,8.6,4.6,5.3,7.4,NA,10.5,7.1
2098,10.3,-0.6,4.3,10.3,9.3,7.6,6.7,3.6,3.4,NA,8.2,10.4,10.1,7.7,5.9,4.8,7.6,NA,10.4,7.1
2099,9.8,-5.6,6.9,9.5,8.2,8.1,6.6,4.4,3.2,NA,7.6,10.1,7.7,9.4,5.1,5.3,7.1,NA,9.8,6.7
2100,9.7,-0.4,5.9,9.8,8.3,6.8,5.9,4,3.2,NA,8,10.7,9.5,8.8,5.2,5.7,8.2,NA,10.7,7.1
