"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1881,2,-2.2,0.3,-1.7,1.3,0.3,-3.6,-0.3,-3,-0.3,0.6,-1.7,3.4,1.6,-2,-3.7,-0.8,-2.4,-2.8,-3.7
1882,1.8,-1.8,-3.1,-2.2,0,1.2,-1.5,-1.9,-2.4,-0.8,-0.4,-1.1,0.7,2.9,-0.7,-2.2,0.8,-2.4,-0.4,-3.1
1883,0.1,-2,-3.5,-2.5,-0.5,0.6,-2.8,-0.4,-2.8,-0.2,1,-1.6,3.6,0.5,-1.9,-3.4,1.6,-2.6,-0.4,-3.5
1884,0.6,-2.7,-4.6,-2.7,-0.7,1.4,-2.7,-2.1,-4.1,-1.6,0.2,-1,3.1,2.1,-3.9,-3.1,1.1,-2.8,-0.8,-4.6
1885,0.3,-5.3,-2.8,-1.6,-1.9,0.1,-2.4,0.4,-4.2,1.9,1.3,-1.5,2.3,2.1,-2.3,-2.9,1.1,-3.1,-0.9,-5.3
1886,0.6,-2.3,-2.3,-2.5,-0.2,0.2,-3.8,-1.5,-3.2,-2.3,1.3,-4.3,1.8,1.3,-1.8,-2.6,0.5,-2.2,-0.3,-4.3
1887,1,-1.3,-1.8,-2.3,1.1,0.2,-1,-1.1,-1.7,-0.9,0.6,-1.4,3.2,2.2,-2.6,-2.4,1.4,-1.8,-0.5,-2.6
1888,1.3,-3.4,-3.1,-1.8,0,0.9,-1.3,-0.9,-1.8,-2,1.7,-3,3.8,2.9,-5.3,-2.9,1.4,-1.2,-0.6,-5.3
1889,-0.4,-2.5,-2,-1.7,-0.8,1.1,-2.9,-0.5,-0.8,0.3,1.8,-2.4,3.6,1.5,-2.7,-3.4,1.7,-0.3,-2.9,-3.4
1890,1,-3.3,-2.9,-2.5,0.4,0.7,-1.6,-0.6,-3.2,-0.2,1.3,-2.4,3.2,2,-2,-4.1,-1.3,-1.7,-2.5,-4.1
1891,1.1,-2.5,-3,-2,-0.2,1.1,-1.5,-0.8,-2.7,-2.6,1.3,-1.9,2.2,1.7,-2.7,-5.6,0.5,-2.5,-1.4,-5.6
1892,0.6,-1.1,-3.2,-2.3,-2.1,1,-1.8,-1.5,-2.1,-1.7,0.5,-0.4,4.6,1.4,-3.1,-2.4,-0.3,-2,-1.5,-3.2
1893,1,-3.1,-2.8,-1,-0.4,0.8,-2.6,-0.8,-1.8,-0.7,1.4,-1.7,2.5,2.8,-2.7,-3.6,1.1,-2,-0.2,-3.6
1894,1.6,-2.7,-3.5,-3.3,0.4,1.5,-4.4,-0.4,-1.7,-0.9,1.3,-1.5,4.1,1.8,-2,-2.8,1.2,-0.4,-2,-4.4
1895,1.5,-2.5,-4.2,-1.9,0.1,-0.1,-3.8,-1.6,-3.7,-0.5,1.2,-1.6,2,1.1,-2.8,-2.7,0.2,-0.6,-3.7,-4.2
1896,0.5,-3.7,-2.1,-1.7,0.1,1.4,-3.1,-1.9,-1,0.4,1.2,-2.1,4.5,-0.2,-1.9,-3.4,-0.9,-2.7,-1.4,-3.7
1897,1.3,-2.2,-4.4,-1.9,-0.3,1.2,-2.3,-0.5,-3.2,0.4,0.5,-3.8,4.4,2.6,-3.2,-2.5,1.6,-0.6,0.5,-4.4
1898,1.2,-0.7,-2.6,-2.3,0.7,1,-3.2,0.8,-2.4,-0.6,-0.2,-1.6,3.4,1.7,-1.2,-2.9,1.5,-2.1,-0.3,-3.2
1899,2.1,-3.3,-2.8,-1.6,0.9,-0.8,-3.3,-0.5,-3,-0.1,-0.7,-2.6,3.7,2.5,-1.4,-2.3,1,-0.6,-0.8,-3.3
1900,1.8,-1.9,-1.9,-4,0.1,0.5,-2,-0.3,-1.8,0.8,2.3,-1.1,4,2.7,-2.7,-3.1,-0.2,-1.8,-0.7,-4
1901,1.7,-1.7,-2.2,-1.5,0.7,1.8,-1.5,0.2,-2.4,-0.4,-1,-1.5,3.2,1.5,-1.1,-1.8,0.7,-1.3,-1,-2.4
1902,0.9,-3.1,-2.5,-3.2,1.3,1.8,-1.1,-0.3,-1.2,0.5,-0.1,-2.8,1.4,1.4,-2.4,-1.5,0.4,-1.9,-1.9,-3.2
1903,-1.6,-4.7,-2.5,-2,-0.7,1.8,-2.1,-2.4,-3.1,1,-1,-2.6,3.4,0.6,-2.3,-3.2,0.1,-2.9,-2.1,-4.7
1904,1.1,-3,-1.2,-1.7,-0.6,1.1,-3,-2,-2.4,-0.3,0.3,-0.8,4,2.4,-1.1,-2.4,0.9,-1.2,-2.2,-3
1905,1.3,-2.2,-2.5,-1.3,0.1,0.1,-2.1,-1.1,-2.6,-0.3,0.6,-1.2,2.9,1.9,-1.7,-4.7,2.1,-2.4,-0.4,-4.7
1906,2.9,-2.5,-4,-2.6,-0.1,-0.3,-1.6,-0.1,-1.3,0.4,-1.8,-2.2,2.5,2.4,-3.1,-2.9,2.1,-1.5,-0.2,-4
1907,1.2,-1.5,-3.9,-1.9,0.7,1.6,-1.6,0.9,-2.9,-2.9,0.6,-1.3,2,1.6,-2.8,-3.4,-0.5,-1.5,-1.1,-3.9
1908,1.5,-3,-2.6,-2.3,0,0.9,-0.3,-1.1,-2.1,-0.1,0.9,-0.8,3.7,1.8,-2.1,-4.4,0.3,-3.1,-0.4,-4.4
1909,1,-3,-1.5,-1.8,-0.9,0.9,-2.6,-1,-1,-0.7,1.8,-0.3,1.4,2,-2.2,-3.8,0.6,-2.8,-0.7,-3.8
1910,1.3,-0.8,-1.8,-2.3,0.4,2.4,-3.2,-0.5,-0.8,-0.1,0,-2.1,3.2,1.7,-2.4,-1.9,0.4,-1.2,-0.2,-3.2
1911,1.4,-0.9,-3.7,-0.5,1.1,0.7,-2,-1.7,-2.3,0.9,1.5,-2.5,3.1,1.6,-2.4,-1.9,1.2,-3.1,-0.9,-3.7
1912,1.2,-2.4,-5.9,-2.1,-0.7,-0.2,-3.6,-0.9,-3.9,-0.2,1.5,-3.2,2.7,1.2,-2.5,-3.7,-0.3,-3.1,-2.1,-5.9
1913,1.7,-2.2,-1.8,-2.3,-1.5,-0.2,-0.6,-0.6,-2.5,-0.4,1.5,-3,2.3,1.1,-2.8,-2.6,0.6,-2.1,-1.2,-3
1914,0.7,-1.6,-3.5,-2,0.9,0.3,-4.8,0.9,-2.1,0,1,-1.8,1.8,2.4,-2.2,-2.2,1.4,-2.4,-1.2,-4.8
1915,1.4,-2.7,-2.4,-1.2,0.3,1.8,-1.7,-2.1,-2.6,-1.2,1.1,-1.5,3.5,1.1,-1.7,-2.7,1.1,-1.8,-1.4,-2.7
1916,1.9,-2.6,-1.8,-1.5,0.3,2.1,-0.9,-0.8,-2.2,0.9,2.1,-3.2,2.6,2.1,-3.2,-2.5,0.7,-2.4,-1.8,-3.2
1917,0.7,-4,-1.9,-2.1,0.3,0.5,-3.4,-1.1,-1.9,-1.3,1.7,-1.3,2.8,1.5,-4.6,-3.1,1,-0.3,-2.1,-4.6
1918,2,-1.3,-2.9,-1.4,0.3,1.4,-1.4,0.7,-2.7,0.3,1.1,-0.1,1.5,0.6,-3,-2.6,0.8,-3.5,-2.9,-3.5
1919,-0.4,0.3,-2.2,-3.8,0.9,1.6,-3.3,-0.1,-3,0.4,1.4,-0.2,3.5,1,-2.6,-1.5,0.8,-1.4,-1.9,-3.8
1920,0.7,-3.2,-3.7,-1.2,0.7,1.8,-2.5,0.4,0.2,0.1,0.9,-2.4,2.8,1.2,-1.6,-2.6,0.8,-2.9,-1.9,-3.7
1921,1.7,-2,-2.9,-1.6,0.5,-1,-2.4,1.1,-3.3,-1.8,1.4,-0.6,4.4,0.8,-1.7,-3.7,0.2,-1.2,-1.1,-3.7
1922,2.3,-3.5,-2.4,-1.9,0.2,0.7,-0.1,-1,-2.9,-0.2,1.1,-3.4,3.3,2.6,-3.8,-2.2,0.6,-0.7,-0.2,-3.8
1923,1.8,-1.2,-2.6,-2.5,-0.5,1,-0.3,-1.3,-2,0.1,0.7,-2.5,2.2,1.7,-2.4,-1.8,2.4,-3,-1.8,-3
1924,0.7,-1.2,-2.9,-0.8,0.4,1.3,-1.9,-1.1,-0.7,1.1,1.2,-2.9,3.5,2.2,-4.1,-2.7,0.5,-1.7,-2.4,-4.1
1925,1.8,-2.7,-4.4,-2.9,0.7,0.2,-0.5,0,-2.7,-1.1,2,-2.4,3.2,2,-1.8,-4,0.2,-2,-1,-4.4
1926,0,-0.9,-2.8,-1.1,0.9,1.3,-3.1,-1.6,-3.2,0.3,2.1,-1.4,3.1,1.8,-2.2,-2.4,0.5,-0.4,-0.9,-3.2
1927,1.1,-1.5,-1.2,-2.2,0.7,-0.6,-0.8,-1.2,-0.6,0.3,0,-3,3.4,1.8,-0.7,-2.6,-0.6,-2.1,-0.9,-3
1928,1.8,-3.7,-1,-1.8,0.6,2.2,-3,-0.2,-2,-0.9,0.6,-0.7,2.2,1.4,-2.8,-3,2.2,-1.7,-1.6,-3.7
1929,0.7,-1.8,-3.3,-2,1.2,1.6,-2,0.3,-2.3,-0.7,0.8,-0.9,4,2.8,-2,-2.4,0.3,-2.5,0.2,-3.3
1930,0.9,-2,-2,-1.4,0.4,1.2,-2.7,-0.1,-3.8,0.2,1.4,-1.5,2.6,2.3,-1.3,-1.4,0.1,-1.1,-0.7,-3.8
1931,1.2,-1.9,-2.5,-2.5,0.8,0.5,-1.8,-1.9,-2.6,0.9,1.2,-0.3,3,2.4,-1,-3.2,1.6,-0.6,-1,-3.2
1932,0.6,-2.5,-1.9,-2.3,-0.5,-0.4,-0.7,-1.9,-2.5,-1.7,0.4,-0.7,3.4,2,-2,-1.8,0.4,-1.8,-1.3,-2.5
1933,1.2,-2.8,-0.9,-1.8,-0.9,0.8,-1.7,-1.6,-3.3,-0.9,1.9,-1.3,4,1.8,-0.6,-1.4,0.2,-2.3,-0.5,-3.3
1934,2.4,-0.1,-2,-2,-0.4,-0.3,-1.7,-0.7,-1.5,0.1,1.7,-2.3,3.6,2.3,-1.4,-2,1.7,-3.6,-1.6,-3.6
1935,2,-1.4,-2.6,-2,-0.2,0.2,-2.5,-1.9,-0.9,0.3,1.4,-1.4,3.5,2.1,-0.8,-3.7,2.1,-1,-0.5,-3.7
1936,2,-2.6,-3.7,-2.5,-0.1,1.1,-4.3,-1.3,-2.8,-1,1.2,-1.7,3.1,3.1,-1.1,-1.1,1.6,-1.8,-0.8,-4.3
1937,1.9,-2.7,-1.1,-1.3,1.1,0.2,-3.6,-1,-1.3,-0.9,2,-2.1,4.1,3,-2.5,-2.4,1.4,-2.6,-0.9,-3.6
1938,2.1,-3.5,-4.1,-2.1,0.5,1.4,-3.1,-0.5,-2.7,-1,1.7,-2.2,3.5,2.2,-4.3,-3,0.1,-2.3,-0.2,-4.3
1939,1.8,-0.9,-4.3,-1.6,-0.5,0.8,-1.6,-0.2,-3,0.1,-2.5,-1,4.1,3.4,-3.5,-1.8,1,-0.7,-0.3,-4.3
1940,1.8,-1.1,-4.3,-0.8,-0.4,1.3,-1.9,-1.4,-2.4,-0.4,1.1,-1.4,4.7,2.3,-1.3,-3.5,0.2,-1.7,-1.6,-4.3
1941,0.9,-2.7,-2.5,-2,-0.2,0.5,-2.4,-0.2,-4.2,1.8,2.2,-2.2,3.4,3.2,-1.1,-3.2,1.7,-4.4,0.1,-4.4
1942,1.8,-0.6,-2.3,-1.7,0.9,2,-4,0.2,-3.5,0.7,1.5,-0.7,4.1,2.8,-3.1,-2.9,2.1,-0.6,-2.3,-4
1943,0.5,-1.4,-1.6,-0.7,-0.5,1.5,-1.2,-0.2,-1.5,-1.5,1.6,-1.4,3.2,2.5,-2,-2.2,0,-1.3,-0.1,-2.2
1944,0.3,-0.9,-1.7,-2.7,0.1,-0.3,-2.1,0.8,-1.1,0.3,0.9,-0.6,3.6,3.4,-1.2,-2.3,2.2,-0.7,-0.5,-2.7
1945,0,-2.3,-3.4,-2.2,0.6,1.7,-1,-1.7,-3,-0.1,1.7,-1.3,3.9,1.6,-2,-1,1.3,-1.8,-1,-3.4
1946,1.3,-0.2,-3.3,-2.7,-0.1,1,-1.8,-1.3,-1.2,0.3,1.9,-0.9,3.2,2.1,-2.3,-2.7,-0.7,-2.1,-1.4,-3.3
1947,1.5,-2.4,-2,-1.5,0.8,0.1,-2.5,-1.3,-3.4,0.8,1.4,-1.2,3.6,3.3,-1.5,-1.5,1,-0.6,-0.1,-3.4
1948,0.9,-5,-3.6,-2.3,0.1,1.3,-1.4,-2.7,-3.2,-2.7,2.7,-0.8,4.4,3.1,-3.7,-3.5,2.5,-1.1,-3.3,-5
1949,2.1,-3,-1.1,-0.4,1.4,0,-1.8,-0.5,-2.9,-0.5,1,-1,4.4,3.2,-1.6,-2.8,-3.4,0,-2.1,-3.4
1950,2.3,-1.9,-3.5,-1,-1.1,0.8,-0.5,0.5,-3,1.6,-0.4,0.1,3.8,2.5,-1.3,-2.5,2,-2,-2.6,-3.5
1951,0.8,-2,-1.8,-0.9,0.4,2.1,-2.7,0.1,-3.8,-1.8,0.1,-0.9,2.6,2.6,-0.8,-2.4,0.7,-3.1,-1.5,-3.8
1952,1,-2.9,-2.6,-2,-0.7,0.8,-0.3,-0.8,-2.9,0.4,1.4,-1.1,0.8,2.2,-1.4,-1.6,-0.3,-0.8,-1,-2.9
1953,1.8,-2.2,-2.2,-1.8,0.7,1.3,-0.4,-0.8,-1.2,-0.2,2,0.3,3.9,3,-0.6,-2.6,-1.1,-1.9,-0.5,-2.6
1954,2.4,-1.8,-3.2,-1.9,-0.3,1.2,-2.3,1.7,-1,0.8,1.4,0.4,4.4,2.3,-1.7,-2.2,-0.6,-2,-1,-3.2
1955,1.7,-1.6,-1.8,-1.6,-0.2,2.3,-3,-0.1,-1.6,-1.5,0.6,-0.9,4.5,2.5,-2.7,-2.8,0.9,-3.6,-2.8,-3.6
1956,1.2,-3,-1.7,-2,0.6,0.8,-2.1,0.2,-2.7,-1.3,2.3,-1.3,2.3,3,-1.4,-1.4,1.8,-0.7,-1.3,-3
1957,0.4,-1,-2.1,-1.2,0.9,-0.6,-0.6,-0.7,-5.1,1.2,1.1,-2.2,3.5,0.7,-2.4,-4,2.3,-2.9,-1.3,-5.1
1958,2,-1.1,-1.2,-2.1,0.6,1.1,-2.5,0,-1.8,-0.5,1.1,0,4.6,2.1,-2,-1.9,-0.4,-2.3,-0.9,-2.5
1959,0.1,-1.8,-2,-1.2,0.6,1.3,-3.3,-0.6,-1.4,1,0.4,-2.3,4.2,1.3,-3.3,-3,0.5,-0.9,-0.3,-3.3
1960,0.4,-5.5,-3.3,-1,1.4,1.1,-3.2,-0.3,-1.6,0.9,1.7,-1.5,2.9,1.9,-2.4,-2.3,1.9,-2,-0.6,-5.5
1961,1.6,-1.4,-2.2,-1,-0.3,-0.2,0.2,-2.4,-2,0.4,1.2,-1,4.3,1.7,-1.1,-1.9,0.7,-1.9,-0.3,-2.4
1962,0.9,-0.8,-1.9,-2.7,1.2,-0.2,-2.8,0.6,-3.4,-1.8,2,-1.6,2.1,2.5,-1.5,-2.2,0.6,-1.9,-1.3,-3.4
1963,1.2,-0.2,-3.1,-1.3,0,1.3,-2.7,-1.6,-2.1,0,1,-2.2,3,1.6,-0.8,-2.7,0.3,-1.5,-0.8,-3.1
1964,1.3,-1.3,-4.9,-1.8,-0.7,1.6,-1.4,-0.6,-1.8,-0.7,1.1,-2.5,1.7,1.2,-2.2,-1.7,0.6,-1.2,-1.7,-4.9
1965,0.7,-0.8,-0.6,-2.1,-1,0.7,-1.5,-1,-2.5,-0.2,-0.4,-3.2,3.8,2.1,-2,-2.5,-0.5,-1.3,-2.5,-3.2
1966,0.6,-1.8,-2.3,-2.4,-0.6,0.8,-1.5,-0.2,-3.3,-0.5,1,-1.3,3.3,1.6,-1.6,-3.3,-0.4,-2,-2.1,-3.3
1967,2.1,-2.2,-3.5,-3.7,0.2,2.2,-5.8,-1,-2.8,-0.7,1.7,-0.9,3.3,2.6,-0.8,-4.1,-1.4,-1.4,-0.8,-5.8
1968,0.5,-2.2,-1.9,-3.2,1,-0.5,-3.9,-1.8,-2.4,-0.8,2.2,-3,2.8,1.2,-3.2,-2.1,0.4,-1.8,-2.6,-3.9
1969,1,-1.2,-1.2,-2.5,0.2,2.3,-3,-0.5,-3.5,-2.5,1.2,-0.9,1.7,2,-1,-1.7,0.7,-1,-1.3,-3.5
1970,0.4,-2.1,-2.3,-0.9,1.1,0.9,-4.4,-0.9,-1.1,-0.5,1.5,-0.5,3.4,1.1,-0.8,-1.8,-0.2,-3.6,-2.8,-4.4
1971,-0.1,-0.6,-2.8,-2.5,-0.2,0.8,-2.7,-0.4,-1.6,-0.4,1.8,-1.7,3.6,0.8,-3,-1.8,-0.5,-1.9,-1,-3
1972,1,-5.7,-2.6,-2.7,-1.7,0.7,-0.5,-0.3,-2.9,-0.8,0.9,-0.4,2.6,3,-2.3,-1.3,-0.3,-2.2,-0.9,-5.7
1973,0.2,-2.4,-3.9,-2.3,0.7,0.8,-2.2,-1.1,-1.2,-1.4,1.2,0,3.1,1.4,-1.2,-1.5,0.6,-2.9,-2,-3.9
1974,0.7,-1.2,-2.2,-0.8,-0.2,-2.2,-2.3,-1.2,-0.6,-0.3,1.4,-2.1,3.2,1.2,-1.4,-2.1,1.5,-1.3,-0.3,-2.3
1975,1.2,-1.7,-2.6,-1.9,-0.6,2,-1.5,-2.1,-2.7,-0.6,1.5,0.3,4.7,2.4,-1.9,-4.2,-0.8,-0.7,-2.5,-4.2
1976,0.2,-3,-2.2,-2.2,-0.9,1.1,-1.6,-1,-3,0.5,1.3,-0.3,4.2,2,0,-2.2,1.2,-1.2,-2,-3
1977,0.7,-1.6,-2.5,-1.4,0.4,-0.7,-1.4,0.3,-1.4,-0.8,1.3,0.2,3.2,2.3,-0.1,-3.1,1.5,-2.8,-1.1,-3.1
1978,1.4,-2,-2.1,-1.7,0.5,0.4,-1,-3.1,-1.9,-1.6,1.5,-0.3,3.3,2.4,-3.5,-2.4,-1.1,-1.1,-2.5,-3.5
1979,0.6,-3,-2.1,-1.7,0.4,2.6,-5.1,-1.1,-3.4,-0.4,2.4,-1.4,3.6,2.7,-1.1,-1.3,0.5,-3.2,-2.1,-5.1
1980,1.5,-2.7,-3.9,-2.4,-1.3,0.5,-2.6,-0.1,-3.4,-0.4,1.8,-0.7,4.5,1,-0.9,-3.8,-0.3,-2.2,-2,-3.9
1981,1.9,-2.1,-2.2,-1,0.7,0.5,-1.2,-1,-1.5,-0.8,0.7,-0.6,2.5,1.2,-0.7,0,-1.1,-0.7,-2.6,-2.6
1982,1.1,-2.1,-3.1,-1.7,0,0.4,-2.6,-1,-2.9,-0.8,1.6,-2.9,2.9,1.7,-2.1,-3.1,0,-2.2,-2.5,-3.1
1983,2.4,-1.6,-2.5,-1,2.1,-0.3,-1.9,-1.1,-2.3,-0.6,0,-0.7,2.7,0.3,-1.2,-3.1,-0.1,-1.6,-1.5,-3.1
1984,1,-4,-3.3,-0.4,0.4,1,-2.3,-1.3,-2.2,-1.5,1.2,-3.6,3.1,1.8,-2.8,-2.6,2.1,-0.9,-3.3,-4
1985,1.3,-3.6,-2.5,-2.5,0.6,2.4,-0.1,-1.4,-2.3,-0.4,1.1,-1.4,2.8,1.8,-1.3,-3,1.6,-2.9,-0.4,-3.6
1986,2,-1,-3.2,-0.7,-0.5,0.5,-0.4,-0.5,-3.6,-4.9,0.1,0,3.4,2.6,-1,-1.5,0.8,-1.6,-1.7,-4.9
1987,1.3,-0.8,-2.1,-3,-0.3,1.6,-1.1,-1.3,-1.1,-0.4,-0.9,-1.7,4.5,2.6,-1.8,-0.4,1.8,-1.6,-0.7,-3
1988,0.5,-2.5,-2.9,-2.7,0.2,1.9,-2.6,0.8,-1.5,0.8,1.2,-1.8,4.5,2.7,-0.6,-0.9,-1.8,-2.2,-0.9,-2.9
1989,1.6,-1.7,-1.8,-0.1,-0.4,0.8,-0.1,-1.4,-0.7,-1.5,-0.2,0.6,4.1,2.5,-1.3,-2.7,0.3,-2.9,-1,-2.9
1990,1.2,-0.9,-2.9,-0.5,0.9,1.5,-1.9,0,-2.1,0.5,1.3,-0.2,2.8,2.2,-0.6,-1.9,0,-2.2,-1.3,-2.9
1991,1.1,-2.1,-2,-1.7,0.9,0.1,-0.6,-0.1,-1.2,-1.4,1.8,-1.1,3.6,3.2,-2.2,-1.4,-0.1,-0.9,-1.1,-2.2
1992,1.2,-1.1,-5.4,-1.8,0.1,1.3,-1.8,-1.5,-1.5,0.1,0.9,-0.4,3.8,1.7,-3.1,-2.8,-0.9,-1.6,-3,-5.4
1993,1,-3.1,-2,-1.1,-0.1,0.3,-2.4,-0.4,-2.7,-1.8,1.8,-0.3,1.1,2.2,-1.3,-2.1,0.3,-3.4,-1.8,-3.4
1994,1.5,-0.8,-1.1,-1.4,0.2,1.4,-3.3,-1.2,-3.5,-0.5,1.6,-0.7,2.8,2.3,-0.6,-1.9,-0.1,-2.2,-0.8,-3.5
1995,0.9,-1.7,-1.8,-1.2,0.4,2.1,-2.2,-2.9,-2.4,0.3,0.1,-1.8,3.1,2.4,-1.1,-1.6,-0.9,-1.5,-1.4,-2.9
1996,2.1,-1.6,-3.4,-1.4,-0.6,1.3,0,-1.8,-2.4,-0.7,0.6,-2,4.8,1.8,0,-1.4,3.4,-1.1,-0.1,-3.4
