"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1917,-3.1,-13.5,-2.3,-2.9,-3.2,0.2,-0.3,1,-2.1,-8.6,0.1,-6.3,1.9,-1.8,-2.7,-11.4,-0.7,-3.6,-3.7,-13.5
1918,-4,-14.4,-4.7,-2.6,-1.4,-0.9,-0.6,0.5,-5.7,-2.6,1.7,-3.4,-0.1,-0.3,-1,-6.5,2.4,-3.5,-6.9,-14.4
1919,-2.9,-20.7,-6.8,-4.5,-3.2,-0.9,-0.4,0.1,-2.6,-5.9,-2.3,-5.2,2.2,-1.2,-2,-6.8,0.9,-4.8,-9.8,-20.7
1920,-3.8,-15,-8.3,-4.3,-2.4,-0.8,-3.3,-0.4,-3.4,-2.6,0.2,-10.9,3.4,-2,-3,-7.9,-0.6,-2.9,-7.4,-15
1921,-5.2,-18,-3,-2.6,-1.6,-0.4,0.7,-1.2,-3.4,-4.1,-2.4,-6.9,2,-1.3,-4.3,-7,-0.7,-7.4,-5.8,-18
1922,-3.2,-17.3,-2,-6.5,-0.6,-1.5,-0.5,-0.5,-1.5,-6.8,-1.8,-7.1,2.4,-2.8,-3.5,-10.4,-1.1,-4.7,-6,-17.3
1923,-6,-22.8,-4.3,-5.8,-0.7,-1.6,-1,-2.4,-4.7,-7.4,-4.1,-10.9,0.5,-1.8,-5.3,-7.7,-1.8,-3.6,-4.3,-22.8
1924,-5.5,-13.2,-4.3,-5.1,-1.6,-0.3,-1.6,-0.3,-3.7,-2.7,-1.7,-3.7,0,-1.5,-2.8,-10.2,1.4,-4.2,-4.4,-13.2
1925,-4.5,-15.5,-3.5,-2.7,-1.7,-2.1,-3.6,-1.7,-3.2,-6.3,0,-7,-1.9,-1.9,-3.8,-6,-4.2,-3.7,-4,-15.5
1926,-5.3,-14.4,-8.1,-2.1,-1.1,-1.3,-3.7,-3.4,-5.7,-3.5,-0.8,-6.1,2.5,-5.7,-2.7,-6.9,-3.9,-3.1,-3.2,-14.4
1927,-4.3,-15.8,-5.3,-3.5,-1.4,0.1,-2.4,-0.3,-3.5,-4.6,-0.1,-5.7,2.2,-3.5,-9.1,-8.6,0.8,-4.2,-6,-15.8
1928,-3.3,-8.8,-3.9,-5.6,-1.4,-1.4,0.6,-1.9,-5,-4.4,-4,-6.3,2.8,-1.8,-3.1,-7,1.2,-2.7,-3.9,-8.8
1929,-3,-10.7,-0.1,-2.6,-1.9,-0.2,0.2,-0.3,-2.2,-5.2,-6.5,-10.6,3.6,-0.2,-3.2,-9.6,0.1,-2.7,-7.7,-10.7
1930,-3.2,-12.1,-1.1,-3.6,-1.7,-1.6,-3.1,0.2,-2,-3.1,-0.6,-9,0.8,-1.8,-5.9,-7.6,0.6,-2.9,-5.7,-12.1
1931,-5.6,-10.2,-4.9,-5.1,-5.5,0,-1.1,-0.9,-6.5,-2.5,-2,-10.1,-0.1,-1.5,-1.5,-9.6,-1.6,-3.5,-5.4,-10.2
1932,-3.3,-11.3,-2.5,-5.5,-1.2,-0.8,-2.4,-2.3,-3.3,-3.5,-3.2,-5.6,1,-2.7,-2.1,-5.3,1.9,-3.1,-6.4,-11.3
1933,-3.6,-15,-1.4,-3.3,-1.6,-0.4,-0.2,-1.4,-2.5,-5.3,-2.1,-6.6,2.4,-0.1,-4.4,-7.3,-0.8,-2.2,-6.3,-15
1934,-5.5,-13.2,-2.4,-3.3,-2.4,-0.8,-1.9,-2.1,-1.8,-4.9,-3.1,-5.2,0.6,-1.7,-2.8,-6.8,0.5,-4.6,-5.6,-13.2
1935,-3.4,-12.4,-0.9,-3.9,-1.3,-1.4,-2,0.5,-1.5,-4.7,-0.8,-7,3.3,-3.5,-3.7,-8,-4.9,-2.3,-4.8,-12.4
1936,-2.4,-16.8,-7.6,-4.4,-3,0,-2,0.4,-2.2,-4.5,1.1,-8.5,2.7,-3.2,-2,-8.4,1.2,-2.9,-5.7,-16.8
1937,-3,-15.9,-3,-2.9,-2,-1.2,-2.5,0.6,-6.3,-4.9,-1.2,-5.4,1.6,-0.5,-4.7,-5,0.5,-6.1,-6.6,-15.9
1938,-3.8,-9.9,-0.9,-6.6,-2.1,-2.1,-2.6,-1.4,-5.5,-4.5,-3.9,-5,2,0.9,-5.4,-9,1,-2.5,-3.9,-9.9
1939,-2.6,-14.9,-5,-3.5,-1.6,-1,-3.7,-2.3,-5.1,-7.6,-1.6,-7,2.5,0,-9.4,-9.5,-0.6,-4.8,-7,-14.9
1940,-3.3,-18,-3.6,-5.3,-1.5,-1.3,-0.3,0.4,-5.1,-5,-7.7,-6.4,3.5,-1.8,-3.2,-7.6,1.2,-3.5,-4.3,-18
1941,-3.6,-15.3,-4.2,-5.6,-0.8,-2.3,-0.4,-0.6,-4.4,-2.7,-5.4,-7.8,1.8,-2.3,-1.3,-7.4,-6.1,-3.4,-6.4,-15.3
1942,-4.3,-18.1,-1.1,-4.4,-0.2,-1,0.5,0,-7.4,-4,-0.6,-5.5,-0.6,-3.3,-7.8,-6.2,-2.2,-4.6,-5.2,-18.1
1943,-6.4,-10.6,-3.5,-6,-2.1,-1.5,0.8,-0.8,-4,-3.4,-1.1,-5.9,-0.6,0.5,-3.1,-7.8,-4.2,-3.2,-5.9,-10.6
1944,-4.6,-15.7,-3.5,-3.2,-2,-1,-3.1,-1,-4.2,-6.9,0.2,-8.3,1.4,-2.1,-2,-8.7,-2.6,-5.2,-5.8,-15.7
1945,-2.9,-8.3,-1.8,-6.1,-1.1,0.2,-2.2,0.7,-2.7,-5.6,-1.9,-5.6,0.3,-3.7,-3.1,-7.9,0,-4.8,-3.8,-8.3
1946,-3.9,-13.6,-2.4,-2.3,-1,-0.6,-1.9,-3.1,-4.2,-3.2,-1.7,-8.8,0.4,0.1,-2.9,-5.5,-1.8,-4.4,-5.1,-13.6
1947,-6,-10.7,0.1,-5.3,-1,-0.9,-2.3,-2.7,-2.8,-4.4,-0.8,-4.8,0.9,-1.9,-4.1,-4.7,-1.9,-2.2,-5.3,-10.7
1948,-4.4,-15.2,0.7,-4.4,-0.7,-0.8,-0.8,-1.6,-1.9,-4.7,-1.4,-5.8,2.6,0.3,-2.7,-9.1,1.2,-2.5,-5.6,-15.2
1949,-4.1,-13,0.5,-4.8,-0.3,-0.3,-0.8,-1.7,-1.5,-2.7,-0.5,-4.9,3.1,-0.6,-1.4,-7.4,2.2,-3.6,-6.7,-13
1950,-2.4,-12.4,-2.8,-5.7,-1.2,-2.6,-0.2,0.5,-4,-2.3,-4.1,-7.3,0.5,-2.1,-3.4,-5.9,1,-6.4,-5.4,-12.4
1951,-4.7,-10.4,-2.2,-3.4,-1.3,-2.5,-3.2,-2.2,-3.2,-5.3,-2.3,-3.2,0.9,0.1,-4.7,-9.6,-3,-2,-3.8,-10.4
1952,-4.1,-13.3,-5.1,-3.4,-1.7,-2.1,-1.7,-3.6,-4.7,-6.6,-7.1,-7.1,3,-1.2,-5.7,-7.4,1.7,-4.7,-6.9,-13.3
1953,-2.9,-11.5,-4.2,-3.9,-0.5,-1.7,-1.7,0.3,-4,-3.5,-2.9,-5.3,3.4,-1.7,-3.2,-5.9,-1.6,1.2,-5.7,-11.5
1954,-6.5,-13.1,-3.9,-6.7,-2,-0.9,-1.4,0.4,-4.1,-4,-1.7,-5.5,0.4,0,-7,-8,-1.5,-3.1,-6.8,-13.1
1955,-5.5,-11.5,-1,-3.2,-1.2,-1.1,-1.3,-1.4,-3.7,-5.1,-4.2,-5.2,1.4,-1.1,-2.3,-11.9,1.3,-3.9,-6,-11.9
1956,-2.3,-15.9,-6.2,-4.5,-1.2,-0.2,1.5,0,-4.7,-2.6,-5.2,-6.5,2.2,0.2,-2.5,-6.1,2.3,-1.9,-5.6,-15.9
1957,-3.9,-12.7,-4.6,-4.8,-3.2,-0.5,-2.5,-1,-5.4,-5.9,-1.8,-8.1,-0.4,-1.8,-3.9,-4.8,-0.3,-7.1,-2.8,-12.7
1958,-5.9,-11,-1.1,-3.9,-0.1,-1.1,0.3,-1.7,-1.6,-3.4,-2.3,-5.1,-0.8,-4.8,-5.7,-10.3,3.1,-1.6,-6,-11
1959,-4.2,-15.1,-2.6,-4.6,-1,-1.5,-0.4,-2.3,-1.7,-1.9,-0.5,-7.5,0.7,-1.8,-4.8,-8.7,1,-2.6,-3.7,-15.1
1960,-3.7,-13.8,-6.6,-4.7,-1,0.4,-0.4,-0.1,-4.3,-2.9,-3.7,-9.1,1.1,-2.6,-1.8,-8.9,1.4,-3.2,-3.6,-13.8
1961,-3.3,-16.1,-4.1,-4.9,-3,-2.5,0.8,-2.9,-3.6,-2.8,-0.6,-5.8,1,-5.7,-3.1,-9.8,0.2,-4.2,-7,-16.1
1962,-5,-11.7,-3.7,-4,-2.2,-3.7,0.5,-0.7,-3.4,-2,1.1,-7,1.3,-0.1,-2.9,-5.6,-1.3,-2.9,-4.5,-11.7
1963,-4.1,-10.9,-2.8,-5.5,-2,0.3,-1.3,0.5,-5.2,-5.3,-0.4,-5.2,-1.3,-1.6,-1.9,-6.5,0.5,-2.6,-4.4,-10.9
1964,-6.9,-16,-1,-4.7,-2,-0.8,1.5,-3.8,-3.4,-3.2,-2,-9.9,-0.5,-3.8,-4.1,-4.3,-3.1,-1.5,-4.5,-16
1965,-4.5,-18.8,-5.2,-4.7,-1.7,-1,-1.5,-1.1,-3.4,-4.7,-2.9,-6.1,0.2,-1.5,-3.8,-5.5,0.9,-4.7,-5.7,-18.8
1966,-2.9,-12,-1.4,-4.9,-1.7,-0.5,-2.2,-0.4,-4.6,-4.3,-1.1,-4.9,0.9,-3.2,-4.1,-6.6,-0.2,-1.5,-6,-12
1967,-4.7,-17.9,-1.1,-3.2,-2.1,-1.2,-0.5,0.2,-2.3,-4.1,0.2,-5.7,3.6,-2.4,-5.8,-4.9,0.6,-2.5,-7,-17.9
1968,-3.6,-17.7,-2.7,-2.4,0,-4.1,-3.8,-0.8,-3,-4.1,0.4,-4.9,2.4,-1.5,-2.2,-6.6,2.4,-3.1,-7.5,-17.7
1969,-4.5,-14.6,-0.1,-5.5,-1,-0.2,-2.3,-0.1,-3.3,-2.5,-0.4,-6.3,0,-0.7,-6.1,-7.7,-0.2,-4,-4.1,-14.6
1970,-3.8,-16.9,-7.7,-4.8,-1.5,-0.7,-2.3,-2.4,-5.3,-3.1,-7.4,-3.6,1.4,-1.1,-1.2,-10.3,2.3,-1.9,-9.2,-16.9
1971,-3.9,-12.9,-7,-7.7,-1.3,-0.2,-2.5,1,-5.3,-4,-4.3,-7.2,0.8,-1.5,-2.7,-6.9,-1.8,-1,-3.9,-12.9
1972,-4.2,-9.8,-7.2,-4,-1.8,-0.6,-1.3,-1,-3.8,-5.3,-1.9,-7.8,2,-2.9,0,-5.5,1.3,-4.5,-4.3,-9.8
1973,-3.6,-11.3,-2.9,-3.4,-2.4,-1.6,-0.1,-1.7,-5.1,-3.1,-2.3,-6.2,-0.3,-0.3,-3.7,-9,-0.2,-2.2,-4.6,-11.3
1974,-3.6,-12.9,-4.2,-2.6,-2,0.5,1,-1.6,-4.8,-3.6,-3.3,-6.6,2.5,-2.9,-3.7,-6.7,2.1,-0.9,-6.5,-12.9
1975,-3.9,-8.8,-4.9,-3.7,-0.1,-0.3,-1.1,-5.1,-5.6,-2.7,-0.9,-5.7,-0.5,1.4,-1.7,-7,-0.3,-3.1,-5.6,-8.8
1976,-4.7,-17,-0.8,-2.9,-3.3,0.1,-1.4,-1.2,-3.1,-2.1,0.2,-7.7,1.7,-4.2,-3.1,-7.7,-2.8,-3.2,-4.5,-17
1977,-3.7,-10.6,-3.8,-4.7,-1.6,-1.1,0.6,-0.5,-3.5,-6.9,-2.1,-4.9,1,-2.1,-0.7,-3.4,-0.2,-3.1,-4.3,-10.6
1978,-3,-10.8,0.1,-3,-3,-1.4,0.5,-0.2,-4.1,-6.7,-4.1,-4.9,2.8,-3.7,-1.9,-5,1.3,-3.6,-4.5,-10.8
1979,-3.4,-10.6,0.2,-5.7,-1.8,0,-1.2,-0.1,-3.8,-6.3,-5.6,-6,2.2,-2,-0.7,-7.1,1.9,-1.2,-5.9,-10.6
1980,-3.3,-14.4,-1.8,-6.8,-0.3,-0.6,-2.5,-1,-4.2,-5.1,-0.5,-7.2,2,-1.1,-6.8,-3,-1.5,-4.2,-6,-14.4
1981,-4.2,-11.5,-5.4,-2.7,-1.8,-2.6,-0.9,-1.7,-3.9,-2.8,-0.9,-3.6,1.2,-3.6,-6.6,-5.1,-0.5,-3.8,-5.3,-11.5
1982,-6,-14.9,-5.3,-2.7,-0.6,-2.7,-0.2,-2.4,-3.4,-5.9,-0.6,-5.4,-0.1,-0.1,-5.4,-5.8,0.8,-3.9,-4.7,-14.9
1983,-3.1,-15.6,-2.7,-6.1,-1,0.7,-0.5,-1.1,-7.1,-5,-0.6,-6.1,-1.7,-2.5,-4.8,-8.4,3.1,-3.6,-8.9,-15.6
1984,-5.1,-11.3,1.3,-4.9,-1.2,-1.6,-0.8,-1.9,-3.9,-2.9,-2.9,-4.9,1.4,-1.2,0.4,-9.1,3.2,-6.3,-6.6,-11.3
1985,-3.5,-18.4,-0.2,-2.7,-1.3,-1,-0.6,-2.9,-3.2,-3.2,-3.6,-5.1,4,-5,-4,-6.8,2.3,-0.9,-8,-18.4
1986,-4.7,-11.4,-2.2,-3.7,-2,-2.1,-2.3,-1.8,-3.7,-7.9,-4.5,-5.8,3.3,-5.1,-3.1,-6.4,-0.6,-7.4,-5.2,-11.4
1987,-3.6,-16,-5.6,-4,-0.1,-1.5,-0.7,0.3,-4.5,-5.5,0.3,-6,3.2,-0.3,-3.3,-11.5,0.3,-5.9,-7.8,-16
1988,-6.2,-14.5,-3.4,-3.9,-1,-2.5,0,-1.9,-2.7,-4.1,-2.1,-7.8,3.1,-3.6,-1.6,-4.5,2.4,-2.7,-7.8,-14.5
1989,-4.5,-13.9,0.3,-6.6,-2.2,-4.9,-0.6,-0.7,-3.4,-3.6,-0.3,-4.4,1.3,0.2,-1.7,-11.3,-0.4,-5.4,-5.3,-13.9
