"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
1863,2.6,0,0,0,0,0.5,0,0,0.7,0.6,19.5,0,31.3,17.4,2.1,0.7,0.2,3.9,0.1,0
1864,4.3,0,0.3,0,0,0.5,0,0,0.6,1.3,23.4,0,35.5,0.8,0.5,0.2,0.8,6,0.1,0
1865,3.2,0,0,0,0.3,0.4,0,0,0.6,10.2,22,0,33.4,20.7,0.1,1.8,1.5,1.2,0.1,0
1866,0.8,0,0,0,0.4,1.2,0,0,1.8,4,16.2,0,32.8,5.5,1.1,0.7,0.3,7.7,0.1,0
1867,1.6,0,0,0,0.2,1.1,0,0,0.1,0.7,14.7,0,31.4,21.1,1.1,0.2,0,6,0.5,0
1868,2.8,0,0,0,0.3,0.4,0,0,0,0.1,20.6,0,30.4,4,0.4,0.5,1.3,11.2,0,0
1869,5.2,0,0,0,0.1,0.5,0,0,0.2,1.9,24.1,0,36,27.7,1.6,0.4,0.3,6.5,0.1,0
1870,1.5,0,0,0,0.1,0.3,0,0,0.3,11.3,19.6,0,31.4,15.4,1.4,0,0.1,2.1,0.1,0
1871,2.6,0,0,0,0.3,0.4,0,0,0,0.3,17.9,0,32,5.6,1.2,0.8,0.3,3.5,0.2,0
1872,3.9,0,0,0,0,1.5,0,0,0.2,0,15.2,0,32.4,10.9,2.1,1.8,0.9,2.8,0.5,0
1873,2.9,0,0,0,0.1,0.3,0,0,0.3,0.6,17.5,0,31.8,15.7,0.2,0.1,0,17.6,0.6,0
1874,6.6,0,0.1,0,0.1,0.6,0,0,0.5,3.7,16.2,0,31.1,24.2,0,1.5,0,10.1,0,0
1875,1.5,0,0,0,0.1,0.8,0,0,0.4,0.3,14.1,0,36.1,7.4,0.2,0.1,0.5,12.9,0,0
1876,6.1,0,0.1,0,0.2,0.4,0,0,0.3,0.6,22.5,0,34.6,8.5,1.5,2.5,0.1,1.2,0,0
1877,1.7,0,0,0,0.1,0.2,0,0,0.6,4.2,13.4,0,31.4,13.9,1.1,0,2.7,1.7,0,0
1878,4.1,0,0,0,0.1,0.2,0,0,3.1,1.3,14.5,0,32,7.3,1.1,2.2,0.1,5,0.7,0
1879,3,0,0,0,0.1,0.2,0,0,0,1.9,13.1,0.1,29.1,13.9,0,0.3,0.1,13,0.1,0
1880,9.4,0,0,0,0.1,0.3,0,0.1,0.4,0.7,14.8,0,43.8,16.3,0.4,0.4,0.3,4.7,0.2,0
1881,0.3,0,0,0,0.1,0.3,0,0,0.1,0.4,14.6,0,37.8,9.2,0.4,0.4,1.1,13.5,0.4,0
1882,6.5,0,0,0,0.2,0.4,0,0,0.4,0.8,12.3,0,30.9,14.1,1,0.2,0.1,11.1,0.1,0
1883,1.6,0,0,0,0.8,0.3,0,0.2,0.6,0.3,13.6,0,27.8,7.4,0.5,0,0,4.1,0,0
1884,1.8,0,0,0,0.1,1.2,0,0,0.5,2.1,17,0,31.5,15.4,0,0.3,0.7,1.8,0,0
1885,0.1,0,0,0,0.3,1.2,0,0,0,1.5,11.6,0,31.7,4.8,0,0,0.9,5.5,0,0
1886,0.4,0,0.1,0,0.1,0.1,0,0,0.1,0.1,16.9,0,31.2,13.2,0.1,0.2,0.1,10.4,0,0
1887,2.8,0,0,0,0.4,1.5,0,0,0.1,0.3,12.4,0,30,2.5,1.1,1.2,0.5,11.4,0,0
1888,4.4,0,0,0,0.1,0.1,0,0,0.2,1.6,8.7,0,36.7,8.4,0.4,0.4,0.1,6.9,0.2,0
1889,0.6,0,0,0,0.1,0.8,0,0,0.1,6,27.3,0,31.5,5.4,0.3,2.3,2.4,7.1,0.1,0
1890,2.1,0,0,0,0.2,0.3,0,0.2,0,6.6,14.4,0,27.2,17.2,1.9,0.3,0.8,9.6,0.1,0
1891,0.7,0,0,0,0.2,0.6,0,0,0.3,0.2,8.5,0,31.4,9.2,1.4,0.4,0.1,10.8,0.2,0
1892,0.5,0,0,0,0,0.5,0,0,0,5.9,13.6,0,31.7,6.5,0.2,0.5,0.2,4.1,0.5,0
1893,0.8,0,0,0,0.1,0.2,0,0,0.2,1,14.1,0,30.2,17.4,0.2,0.1,0.3,14.9,0,0
1894,3,0,0,0,0.7,0.5,0,0,0.1,1.1,24.6,0,31.5,12.3,0.3,0.1,0.1,10.9,0.1,0
1895,1.5,0,0,0,0.5,0.5,0,0,0.5,0.6,15.7,0,29.6,9.6,0.9,1,0.6,9.8,1,0
1896,1.2,0,0,0,0.1,0.8,0,0,0.2,1.1,12,0,31.5,8.9,1.8,0.4,0.5,4.9,0.2,0
1897,1.7,0,0,0,0.3,0.3,0,0,2.3,4.2,13,0,34.8,4,0.1,0.2,0.1,11.1,0.4,0
1898,1.1,0,0,0,0.3,0.9,0,0,0.1,1.1,15.1,0,31.1,16.4,0.4,0.1,0.8,2.6,0.7,0
1899,1.4,0,0,0,0,0.4,0,0,0.2,0.6,14.8,0,35.5,20.1,0.3,0.5,0.2,5.2,0,0
1900,6.8,0,0,0,0.3,0.2,0,0,0.1,0,18.7,0,38.4,11.5,0.9,0.1,1,0.5,0,0
1901,1.6,0,0,0,0.4,0.1,0,0,0,0.1,13.6,0,31.4,10,0.2,2.8,0.5,2.2,0.3,0
1902,0.5,0,0,0,0.1,1.1,0,0.1,0.6,0,17.9,0,40,4.1,0.5,0,0.5,0.2,0.1,0
1903,0.8,0,0,0,0,0.6,0,0.1,0.1,0.7,12.8,0,31,3.8,0.3,0.2,2.4,1.8,0,0
1904,1.4,0,0,0,0.1,0.6,0,0,0,0.2,10.9,0,31.8,6.4,2.3,0.5,0.1,5.4,0.2,0
1905,2.2,0,0,0,0,0.6,0,0,0.5,1.9,12.4,0,30.8,5.9,0.2,1.5,0.4,1.8,0,0
1906,1.1,0,0,0,0.4,0.6,0,0,0.6,5.7,11.3,0,31.2,8.6,0.6,0.2,1.2,2.8,0,0
1907,0.2,0,0,0,0.1,0.2,0,0,0.1,0.1,11.6,0,31.4,10.5,0.4,0.1,0.2,2.3,0,0
1908,2.5,0,0,0,0.2,0.4,0,0,0.3,0.1,14,0.1,30.8,14.2,1.8,0.1,0.7,7.8,0,0
1909,2.9,0,0,0,0.2,0.2,0,0,0.2,1.1,15.7,0,31,19.2,0.1,0.1,0.1,5.2,0,0
1910,5.3,0,0,0,0,0.5,0,0.1,0.6,0.5,13.3,0,31.4,10.3,0.6,0.3,1.4,6,0.1,0
1911,2.6,0,0,0,0.2,0.1,0,0,0.1,2.8,22.1,0,38.7,10.3,2.1,0.8,0.2,9.1,0.1,0
1912,0.3,0,0.1,0,0.6,0.6,0,0.1,0,0.4,17.7,0,32.7,8.9,0.1,0.4,1.2,9.7,0.1,0
1913,0.7,0,0,0,0.2,0.6,0,0,1.2,0.2,13.2,0,30,15.6,0.6,0.1,0.5,1.1,0.1,0
1914,1.7,0,0,0,0.2,0.2,0,0,0,3.8,13.1,0,31.3,2.9,0.3,0.1,1.2,10.7,0.6,0
1915,0.8,0,0,0,0.4,0.6,0,0,0.9,0,14.4,0,31.5,4.9,0.3,0.1,0.6,4.7,0.4,0
1916,1.2,0,0,0,0,1.4,0,0,0,0.4,18,0,31.6,13.1,0.5,1.4,0.1,2.5,0,0
1917,0.7,0,0,0,0.1,0.5,0,0,0.4,5.3,9.4,0,31.8,12.1,0.6,0.4,1.9,1.4,0.8,0
1918,3.9,0,0,0,0.2,0.8,0,0.1,0.1,1.8,18.7,0,30.1,14.2,0.5,0.2,1.1,1.4,0.2,0
1919,4,0,0,0,0,0.3,0,0,0.1,1.6,14.7,0,32.8,8.4,0.1,0,0,16.1,0,0
1920,1.2,0,0,0,0.1,0.5,0,0,0.2,3.4,17.5,0,33.7,13.7,0.6,4.2,0.1,15.3,0,0
1921,1,0,0,0,0.1,0.5,0,0,0.1,0.9,15.8,0,31.1,10.8,1.8,0.5,0.4,18.6,0,0
1922,1.7,0,0,0,0.2,0.6,0,0.1,0,0.5,17.4,0,32.7,7.3,0.6,0.2,3.3,7.4,0,0
1923,1.8,0,0,0,0.1,0.2,0,0,0.1,3.1,13.6,0,30.9,15.8,0.4,1.4,1.7,4.7,0.6,0
1924,0.8,0,0,0,0.3,0.2,0,0,0.1,0.3,18.6,0,27,2.7,3,0.2,0.7,12.8,0.1,0
1925,0.7,0,0,0,0.1,0.5,0,0,0,0.3,21,0,31.1,16.8,2.7,0.2,0.1,16.1,2.3,0
1926,0.1,0,0,0,0,0.1,0,0,0.1,0.8,25.6,0,31.7,13.2,0.2,1,0.8,8.6,0.1,0
1927,1.4,0,0,0,0.3,0.4,0,0.1,0.3,1.8,16,0,33.7,11.3,1.5,0.2,0.4,11.9,0.3,0
1928,2,0,0,0,0.1,0.1,0,0,0.3,8.3,15.5,0,36.1,14.1,1.2,0.8,0.3,2.5,0,0
1929,2.8,0,0,0,0.1,1,0,0,0.2,2.2,16.6,0,33.2,9.2,1.2,0.1,0.4,5.2,0,0
1930,1.8,0,0,0,0.2,0.2,0,0,0,1.2,7.8,0,31.3,7.5,0.1,0.1,0.4,4.7,0.6,0
1931,0.2,0,0,0,0.1,0.2,0,0,0,1,11.8,0,31.1,8.4,0.2,0.2,0.2,1.8,0,0
1932,0.6,0,0,0,0.4,0.6,0.1,0,0,1.4,15,0,34.1,12,0.8,1.3,0.8,10.1,0.2,0
1933,2.7,0,0,0,0.1,0.9,0,0,1.5,0.8,15.2,0.1,31.2,7.4,0.9,0.9,0.8,4.1,0.1,0
1934,3.6,0,0,0,0.1,0.6,0.1,0,0.1,6.2,12.4,0,31.5,12,0.4,0.5,1.2,12,0,0
1935,0.3,0,0,0,0.1,0.7,0,0.1,0.1,1.3,18.4,0,34.9,19.8,0.8,0.3,0.1,11.7,0.5,0
1936,5.6,0,0,0,0,0.2,0,0,0.5,0,28.6,0,32.3,14.7,0.2,0.3,0.1,1.5,0,0
1937,1.7,0,0,0,0.1,1,0,0,0.6,0.1,15.1,0,31.5,5.6,0.2,0.2,1.6,1.5,0,0
1938,6,0,0,0,0.2,0.2,0,0,0.3,1.1,12.1,0,30,13.6,0.4,0.6,0.1,14.7,0.1,0
1939,1.7,0,0,0,0.3,0.1,0,0,0.1,1.8,16,0,33.9,15.3,1.1,0.5,0.2,19.5,2.2,0
1940,2.9,0,0,0,0.3,0.4,0,0,0.1,1.2,17,0,43,8,0.1,1.6,0.9,15.1,0.6,0
1941,1.5,0,0,0,0.1,1,0,0,0.1,0.5,13.8,0,32.4,10.8,0.9,0.4,0.9,8.2,0.1,0
1942,1.1,0,0,0,0.3,1.5,0,0,0,1.4,18,0,30.4,1.7,0.5,0,0.1,5.7,0,0
1943,0.4,0,0,0,0.3,0.1,0,0,0,3.6,13.4,0,30,18.2,0.6,0.9,0.5,3,0,0
1944,3.7,0,0,0,0.2,2.3,0,0.3,0,0.4,12.9,0,32.6,8.7,0.7,0.4,2.8,10.3,0.1,0
1945,0.5,0,0,0,0.5,0.2,0,0,0,0.8,21.5,0.1,33.2,8.3,0.5,0.1,1,1.8,0,0
1946,2.1,0,0,0,0.4,0.2,0,0,0.3,6.2,13.8,0,31.4,18,0.1,1.6,0.2,7.8,1.5,0
1947,1.2,0,0,0,0.1,0.1,0,0,0,1,13.8,0,31.1,11.3,0.8,0.5,0.2,10.3,0,0
1948,2.5,0,0,0,0.4,0.3,0,0,0.8,1.2,11.2,0,31.6,2.6,0.9,1.1,0.4,3.8,0,0
1949,2.8,0,0,0,0.2,0.5,0,0,0.3,0.4,15.1,0,37.3,21.8,1.2,0.9,2,5,0.1,0
1950,3.6,0,0,0,0.5,0.3,0,0,0.4,0.3,23.9,0,31.9,7.8,2,0.4,0.1,4.9,0,0
1951,0.4,0,0,0,0.1,0.5,0,0.1,0.1,0.3,14.7,0,31.4,10,0.4,0.8,1.1,2.6,2.9,0
1952,2.7,0,0.2,0,0.6,0.4,0,0,0,4.1,26.2,0,31.4,6.1,0.3,0.2,0.9,9.7,0.1,0
1953,2.8,0,0,0,0.3,0.2,0,0.5,0.2,4.9,16.1,0,37.5,10.3,2.6,0.2,0,17,0.1,0
1954,0.7,0,0,0,0,0.1,0,0,0.2,0.5,16.9,0,35.3,2.3,2,0.8,0.6,6.9,0.1,0
1955,0.7,0,0,0,0.2,0.6,0,0.1,0.1,0.1,19.4,0,32.1,12.6,1.4,0.9,0.1,12.4,0,0
1956,3.6,0,0,0,0.2,0.1,0,0,0.2,3.1,17.6,0,31.8,10.9,0.9,0.1,0,6.9,0.3,0
1957,1.9,0,0,0,0.3,0.7,0,0,0,3.6,22.2,0,31.2,0.9,0.5,0.2,0.4,11.3,0.1,0
1958,1.7,0,0,0,0.1,0.6,0,0.2,0.3,9.8,14,0,31.2,12,2.7,0.2,0.4,1.2,0.4,0
1959,2.9,0,0,0,0.1,0.1,0,0,1.4,2.7,12.8,0,31,5.7,1.2,0.2,0.3,0.4,0.8,0
1960,3,0,0,0,0.3,0.1,0,0,0.2,4.3,15.9,0,29.9,6.1,0.8,2.8,1.5,1.7,1.3,0
1961,1.2,0,0,0,0,0.2,0,0,0.1,1.8,14.8,0,33,12,0.9,2.8,1.7,3.5,0.3,0
1962,0.4,0,0,0,0.1,0.3,0,0,0.1,0.7,21.1,0,33,4.6,4.2,0.7,0.2,4.5,0.2,0
1963,0.3,0,0,0,0.2,0.7,0,0.7,0.1,0.4,26.9,0,30.3,14.1,0.6,0.9,0,13.4,0.2,0
1964,2.2,0,0.1,0,0.2,0.4,0,0,0.1,4.1,16.9,0,31.5,5.3,3.1,0.8,0,1.8,0.1,0
1965,0.9,0,0,0,0.1,2.5,0,0,0.1,0.4,15.9,0,31.3,11.3,0.4,2.9,0,5.3,0,0
1966,0.5,0,0.1,0,0.5,0.2,0,0.5,0,0.3,26.6,0,31.3,11.3,0.7,0.5,0.2,21.6,0,0
1967,0.2,0,0,0,0.1,0.3,0,0,0.1,0.3,17.7,0,36.3,8.2,0.1,4.4,0.7,4.1,0.1,0
1968,0.9,0,0,0,0.2,0.5,0,0.1,0,0.4,29,0,31.2,8.4,0.1,0.4,0.1,5,0.6,0
1969,2.1,0,0.1,0,0.3,0.2,0,0,0.1,0.3,14.9,0,30.8,13.7,1.7,0.3,0,4,0,0
1970,3.7,0,0,0,0.1,0.7,0,0,0.3,3.3,14.4,0,32.8,12.3,0.7,0.4,1,11.9,0.3,0
1971,0.8,0,0,0,0,0.7,0,0,0.1,0.1,17.5,0,31.4,6.2,0.4,1.7,0.1,7.7,0.9,0
1972,0.6,0,0,0,0.1,0.6,0,0,0.2,1.2,14.6,0,32,11.2,0.1,0.6,0.7,5,0,0
1973,0.1,0,0,0,0.2,0.1,0,0,0.1,0.3,25.3,0,31.2,9.7,0.1,0.1,0.5,8.6,0,0
1974,0.4,0,0,0,0.3,0.3,0,0,0,0.4,19,0,31.2,2.6,1.4,0.7,0.8,5.3,0.1,0
1975,1.1,0,0,0,0.1,0.5,0,0,0,2,13.8,0.1,30.6,7.1,1.7,0.6,0.2,0.4,0,0
1976,0.8,0,0,0,0.1,1.4,0,0,0.1,0.4,14.4,0,34.4,10.4,0.4,0,0.2,4.6,0,0
1977,1.8,0,0.1,0,0.2,0.2,0,0,0.1,0.2,17.2,0,31.3,12.9,1.5,1.5,0,5.2,0.2,0
1978,6.3,0,0,0,0,0.6,0,0,0,0.3,17.4,0.1,30.7,5.5,1.6,0.8,0.1,10.6,0.8,0
1979,0.7,0,0,0,0.1,0.7,0,0,0.1,0.1,24.4,0.2,31.3,15.2,0.8,0.4,0.1,12.3,0,0
1980,0.7,0,0,0,0.1,1,0,0,0,2.4,14.4,0,31.1,3.6,0.9,1.2,1.3,0.7,0.1,0
1981,0.2,0,0,0,0.2,0.5,0,0,0.1,0.9,21.2,0,33.6,9.6,0.2,2.2,0.1,6.9,0.1,0
1982,0.7,0,0,0,0,0.5,0,0,0.2,0,23.8,0,31.2,6.2,0.9,1.2,0.5,11.1,0.1,0
1983,2.1,0,0,0,0.2,0.4,0,0,0,0,14.1,0,30.4,9.7,0.3,0.9,0.5,2,0,0
1984,0.9,0,0.1,0,0.2,0,0,0,0,0.3,15.4,0,31.9,12.7,1.2,2.2,0.7,14.1,0,0
1985,1.3,0,0,0,0,0.2,0,0,0,7.5,12.5,0,38.2,7.9,1.2,6.4,0.2,4.7,0.1,0
1986,0.9,0,0,0,0.1,0.4,0,0,0,0.3,13.9,0,33.6,4.2,0.2,0.2,4.2,1.6,0.1,0
1987,2,0,0,0,0.1,0.2,0,0,0.1,0.5,17.2,0,32.4,6.8,1.4,2.1,0.2,0.3,0,0
1988,1.9,0,0.1,0,0.5,0.3,0,0,0.1,0.2,17.3,0,33.5,7.1,0.2,2.3,1.6,9,0,0
1989,2.6,0,0,0,0.1,0.9,0,0,0,5.4,15.6,0,31.2,15.1,0.7,3.4,0.2,9,0.1,0
1990,2.5,0,0,0,0.2,0.5,0,0,0.6,0.9,15.3,0,34.2,15.3,2.7,1.5,1.2,1.8,0.9,0
1991,2.8,0,0.1,0,0.4,0.4,0,2.8,0,0.2,17.6,0,31.8,10.9,0.1,2.8,1.6,8.1,0,0
1992,10.3,0,0,0,0.1,1.6,0,0,0,4.7,15.5,0,37.4,6.7,1.9,0.5,0.5,6.9,0.5,0
1993,0.4,0,0,0,0.2,0.1,0,0.4,0.2,0.1,12.9,0,31.3,12.8,2.1,0.9,0.2,18.3,0.1,0
1994,1.8,0,0,0,0.2,0.6,0,0,0.4,1.2,22.7,0,32,25,5.6,2,1.9,16.5,0.2,0
1995,1.6,0,0,0,0.2,0.7,0,0,0.2,1.9,16.5,0,28.4,7,2.2,0.3,0.6,18.4,0,0
1996,2.2,0,0,0,0.2,2.5,0,0,0.1,2.3,17.8,0,31.3,17.1,0.6,0,0.5,2.2,0.1,0
1997,4.5,0,0,0,0.1,0.7,0,0,1.4,0.5,18.9,0,36.9,14.9,1.6,4.1,0.1,2.9,0.3,0
1998,6.2,0,0.1,0,0.6,0.2,0,0.1,0,0.2,17.1,0.1,32.6,23.1,1.4,1.4,10.2,6,0.1,0
1999,1.4,0,0,0.1,0.2,0.9,0,0,0.1,3.3,15.2,0.1,30.9,21,1,1.2,1.8,11.9,0.6,0
2000,3.6,0,0,0.1,0.3,0.9,0,0,0.2,1.7,21.4,0.1,32.6,6.7,2.9,2.9,1,11.2,0.2,0
2001,3.5,0,0.1,0,0.3,0.6,0,0,0.1,0.6,12.3,0,38.2,21.3,1.6,4.3,4.4,1.5,0,0
2002,2.3,0,0,0,0,1.4,0.1,0,0.4,9,14.1,0.2,34.6,11.7,4.7,3.8,1.1,2,0.4,0
2003,3.1,0,0,0.3,1.5,1.1,0,0,0.1,1.6,10.5,0.1,31.2,25.6,3.4,5.9,1.2,11.1,0.9,0
2004,0.2,0,0,0.1,0.4,0.9,0,0,0.1,0.2,15.8,0,30.9,19.9,0.7,6.2,1.5,10.1,1.8,0
2005,2.8,0,0,0.1,0.2,0.6,0.1,0.1,0.3,0.3,24.7,0.1,32.3,12.6,3.6,3.9,1.7,8.9,0.1,0
2006,5.6,0,0,0.2,1.3,0.7,0.1,0,0.3,2.1,23.3,0,32,18.7,9.2,0.5,0.2,11.5,0.1,0
2007,6,0,0,0,0.3,0.5,0.2,0,0.1,7.5,13,0,31.6,15.5,2.4,0.8,0.9,7.8,1.3,0
2008,4.8,0,0,0.1,0.2,0.3,0,0.2,0.3,2.2,15.8,0.1,32.6,15.4,2,0.3,3.2,22.2,1,0
2009,2.4,0,0,0.1,0.5,0.6,0.1,0,0.1,6.7,20.2,0,35.6,8.4,1.7,2.9,1.4,16.5,0,0
2010,3.8,0,0.1,0.1,0.3,0.5,0.1,0,0.8,1.4,26.7,0.1,31.3,17.3,3.4,3.1,0.3,17.4,1.8,0
2011,1.7,0,0,0,0.7,0.3,0.5,0,0.6,1.7,19.4,0.1,34.3,16,3.8,2.8,1.5,20.9,1.8,0
2012,7.3,0,0.5,0,0.4,1.4,0,0,0.1,7.5,23.6,0.4,30.7,16.2,2.3,1.6,5.9,4.1,0.4,0
2013,4.2,0,0.3,0.1,1,0.7,0,0,0,16.1,23,0.2,34.2,17.9,10.3,2.5,2.9,7.3,0,0
2014,3.9,0,0,0.5,0.1,1.3,0,0.1,0,0.3,22.4,0,31.9,22.6,5.6,2.9,2,16.9,1,0
