"Year","ACCESS-ESM1-5","AWI-CM-1-1-MR","BCC-CSM2-MR","CanESM5","CNRM-CM6-1","CNRM-ESM2-1","EC-Earth3","GFDL-ESM4","GISS-E2-1-G","HadGEM3-GC31-LL","INM-CM5-0","IPSL-CM6A-LR","MIROC-ES2L","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NESM3","UKESM1-0-LL","ensemble"
2028,0.3,-0.8,-3.9,-1.3,-0.8,1.1,-8.8,-0.9,-4.6,NA,-1.5,-2.4,-1.6,-1.9,-1.2,-2.4,2.2,NA,-2.3,2.2
2029,-0.2,0.9,-2.7,-0.3,-3.5,-3.9,-7.4,-5,-1.8,NA,-4.1,-1.8,-2.3,-1.6,-0.9,-1.2,0.7,NA,1.1,1.1
2030,0.4,0.6,-0.8,-0.6,-1.8,-2.5,-7.6,-1.6,-3.9,NA,-2.2,-1.9,-6.5,0.4,0.9,-2.3,-0.8,NA,-0.9,0.9
2031,1.4,0.5,-0.7,-0.3,-1,0.2,-5.2,-2.9,-1.1,NA,-1.8,-0.4,0.8,-1.4,-0.3,-1.4,0.7,NA,-0.6,1.4
2032,0.5,0.3,-3.6,0,-2.2,0.4,-6.5,-5.1,-3.5,NA,-4.5,-2,0.9,-1.1,-0.5,-2.5,0.1,NA,1.8,1.8
2033,0.2,0.9,-8.4,-0.5,0.1,-1.5,-7,-3.1,-1.9,NA,-3.5,-1.2,1.6,0.2,-1.1,-2.7,-0.1,NA,0.3,1.6
2034,0.5,1.7,-1.2,-1.8,-0.3,0.3,-7.7,-3.4,-3.4,NA,-4.3,-4,-3,0.5,-0.4,-0.5,0.6,NA,-1.4,1.7
2035,0.1,0.4,-2.5,-0.5,-2.4,-0.1,-8,-2.4,-3,NA,-0.4,0,-0.5,0.2,-0.5,-0.2,1.7,NA,1.4,1.7
2036,-0.1,0.9,-5.5,0.2,-2.3,-0.3,-9.2,-0.1,-0.7,NA,-2.9,-0.7,0.3,0.4,0.8,-0.9,2.6,NA,1,2.6
2037,0.6,0.9,-0.1,0.6,-3.6,-2.1,-7,-0.9,-0.9,NA,-3.6,-1.9,-3,0,-0.6,0.6,1.9,NA,3,3
2038,0.2,0.4,-4.6,3.1,-0.8,-1.2,-8.5,-2.9,-3,NA,-1.3,-2,1.7,-2.9,-0.9,-4.1,-0.7,NA,2,3.1
2039,-0.5,0.3,-8.1,0.4,0.3,-2,-6.2,-4,-1.1,NA,-3.6,-0.1,-2.9,-2.9,0.1,-2.7,1,NA,1,1
2040,0.2,0.1,-7.5,2.5,-1.9,-0.6,-6.1,-4.6,-2,NA,-1.2,-1.8,0.7,-3.9,0.4,-3.3,1.5,NA,1.4,2.5
2041,-0.5,2.4,-1.4,1.7,-2.1,-0.6,-8.5,-2.6,-2,NA,-3.8,-0.2,0.5,0.3,-0.7,-2.8,2.4,NA,1,2.4
2042,0.4,-0.4,-1.9,0.5,-1.5,-2.1,-7.3,-0.4,-0.1,NA,-1.5,-2.7,1.9,-3.6,-1.7,-3.7,1.6,NA,2,2
2043,1.6,0.5,-5.2,-1,-1.5,-2.7,-7.6,0.6,-5.3,NA,-0.9,-0.7,-2.7,0.5,-0.3,-3,-0.5,NA,1.5,1.6
2044,0.6,3.4,-2,1.6,-1,0.8,-8.4,-5.6,-1.5,NA,0,-1.8,-2.5,1.1,-0.8,-1.9,-0.3,NA,-2,3.4
2045,0.4,-2,-4.2,1.8,-1.5,2.5,-5.1,1.5,-4.9,NA,-3.4,-0.2,-0.4,1.5,0.4,-0.8,1.4,NA,1.2,2.5
2046,0.2,2.1,-4.3,2.9,-3.1,-0.4,-5.9,-3.9,0.4,NA,-1.4,-1.4,-1,0.9,-0.8,0.5,1.1,NA,0.8,2.9
2047,1,4.5,-5.7,2.1,-0.3,-0.9,-6,-4.7,-0.1,NA,-2.8,-0.8,-1.2,1.2,-0.1,-1,0.3,NA,-0.3,4.5
2048,1.3,0.8,-5,-2.1,0.6,-2.6,-4.2,0.8,-1.4,NA,-3.1,-0.1,-2.2,0.2,-1.3,-1.3,2.9,NA,1.5,2.9
2049,0.7,1.5,-5.6,0.3,-3.5,0.9,-7.3,-2,-0.9,NA,-2.4,-1.9,-4.2,1.8,1.4,-2.3,1,NA,1.4,1.8
2050,0.9,-0.1,-1.7,2.4,-2.9,-2.4,-4.5,-3.5,-1.5,NA,-3.6,-2.7,0.3,1.3,-1.9,-2.9,1.5,NA,2.4,2.4
2051,0.9,0.4,-0.4,1,-0.1,-1.7,-6.3,-3.5,-2.2,NA,-2.3,-1.7,-0.3,0.6,-0.2,-2.4,1.1,NA,1.9,1.9
2052,0.7,0.6,0.1,1.1,-0.9,-2.2,-6.2,-5.1,-3.2,NA,-3.3,-0.4,-1.1,0.9,0.7,-0.3,1.6,NA,0.6,1.6
2053,1.2,1.2,-5.3,1.2,-2.1,-1.1,-8.3,-4.3,-1.2,NA,-0.8,-0.9,-4.3,2.4,1.6,-1.1,-0.3,NA,2.2,2.4
2054,1.2,7.1,1.1,1,-1.6,-2,-10,-1.4,-4.6,NA,-1.8,0,-2.9,-1.4,0.4,-2.2,2,NA,0.7,7.1
2055,1.1,0.7,-8.1,-0.7,0.3,2.2,-3.7,-2.5,0.3,NA,-2.9,-2.3,1.6,0.2,0.4,-1.9,0.3,NA,2.6,2.6
2056,1,-1,-2,0.7,0.3,-3.3,-7.4,-0.2,0.5,NA,-3.5,-1.2,-1.6,0.5,0.1,-0.1,1.4,NA,2,2
2057,0.4,-0.8,-2.3,-0.1,0.7,-3.3,-5.4,-2.5,-2,NA,-4,-0.6,2.2,-2,0,-0.9,0.8,NA,2.4,2.4
2058,1.6,3.1,-4.1,2.2,-1.6,-1,-4.8,-1,0.9,NA,-2.4,0.7,-0.1,0.6,0.5,0.1,-0.1,NA,2.3,3.1
2059,0.4,0.4,-4.8,0.8,-2.8,2.1,-7.2,-3.4,0.3,NA,-1.5,-2.2,-1.4,-0.7,1.3,1.1,1.9,NA,2,2.1
2060,1.6,0.9,-0.6,2.9,0.8,-1.6,-5.5,1.8,-1.4,NA,-1.1,-1.3,1.1,-1.9,0,-1.5,3,NA,1.7,3
2061,0.8,1.7,-0.6,2.2,-1.8,-0.3,-3.8,-3.4,-2.6,NA,-1.9,0.2,-3.1,0.8,-1,0.4,1.5,NA,3,3
2062,0.1,0.6,-0.9,1.8,-0.3,1.5,-4.5,1.3,-1.7,NA,-1.8,-0.8,2.4,1.1,-0.5,-1.6,2.3,NA,1.7,2.4
2063,1.5,0.6,-4.6,1.5,-2.6,1.9,-4.4,-4.2,-1.8,NA,-1.6,-0.4,1,2.1,0.3,-2.3,-0.2,NA,-2.2,2.1
2064,2.1,-2.5,-1.5,3.1,-0.1,-0.2,-6.9,0.1,-1.8,NA,-2.6,-0.7,0.9,-0.7,0.4,-2.2,0.1,NA,0.5,3.1
2065,2.3,3.9,0.9,3.8,-0.7,0.4,-4.2,-0.7,1.5,NA,-2.4,0.5,-0.5,-1.1,-0.4,-1.2,1.9,NA,3.2,3.9
2066,1.1,0.3,-1.8,2.1,-0.6,0.3,-4.1,-3.1,-1.1,NA,-1.2,1.2,2.9,-0.3,0.2,-0.7,0.4,NA,2.3,2.9
2067,1.4,0.1,-1.8,2.9,2.1,0.4,-6,-2,-3.4,NA,-2.4,-1.9,1.5,0.9,0.1,-0.5,1.1,NA,-1,2.9
2068,1.5,0.9,-1.6,-0.4,-2.3,-3,-6.1,-2.7,-3,NA,0.1,-0.4,0.6,0.1,-0.2,-0.9,1.9,NA,3,3
2069,0.3,3.2,-1.4,0.7,-2.2,2.8,-6.2,2.6,-1.5,NA,-1,0.3,-1.7,3.4,1.6,-1.4,1.2,NA,2.3,3.4
2070,1.7,1.2,-2,1.5,0,-2,-4.9,-1.8,-2.8,NA,-0.8,0.5,0.9,2.5,-1.1,0.1,-0.8,NA,2.1,2.5
2071,1.6,0.7,0.3,1.6,-0.7,2,-4.1,-4.3,-5.2,NA,-1.7,-0.7,-0.1,0.1,-0.8,1.1,1,NA,2.5,2.5
2072,1.7,7.7,-0.1,3.9,-0.7,-0.6,-4.7,0.2,-1.6,NA,-2.5,-0.2,0.9,-1.7,0,1.4,0.4,NA,1.4,7.7
2073,1.6,-0.1,-3.4,2.2,0.7,1.6,-4.3,0.6,-0.9,NA,-2.9,0.9,-0.9,2.8,0.1,-1.1,0.9,NA,0.7,2.8
2074,2.1,0.4,1.3,3.1,0.4,1.4,-5.9,-1.2,-0.8,NA,0,-2,-4,1.5,1,-0.1,1.6,NA,1.1,3.1
2075,1.7,10,-3.5,3.2,-0.4,1.4,-3.8,-0.7,-1.7,NA,-2.1,-0.3,5.9,1.7,-0.4,-1.5,2,NA,2.9,10
2076,2.4,3.6,-0.3,3,0.5,1.2,-3.7,0,-4.4,NA,-0.7,0.4,2.8,-1.5,-0.4,-0.8,1.6,NA,2.1,3.6
2077,1,0.3,-0.5,3.7,0.1,1.8,-4,-5.2,-1.7,NA,-2,-2.1,-0.2,0.3,0,0.1,0.7,NA,4.1,4.1
2078,2.1,0.5,-4.7,2.1,1.6,3.1,-5.1,-0.6,-2.1,NA,-3.9,0.6,-4.3,1.9,0.7,-0.9,0.2,NA,3.1,3.1
2079,1.8,2.7,3,2.8,0.6,1,-3.1,-2.6,-2.2,NA,-1.4,0.4,1.3,2.3,-0.3,0.1,2.6,NA,1.5,3
2080,1.2,2.8,-2.4,4,0.9,1.9,-2,1.8,-1.7,NA,-0.8,-2.1,4,2.6,0.6,-0.3,1,NA,3.1,4
2081,1.9,0.6,3.8,4.5,3,1.3,-4.4,0.3,-2.6,NA,-0.9,1.1,1.1,1.1,0.3,0.8,2.1,NA,2.3,4.5
2082,1.2,4.5,-2.7,2.5,1.6,-0.4,-1.1,-0.1,-3.7,NA,-0.6,0.3,-2.3,0.8,-1.3,-1.5,0.5,NA,3.3,4.5
2083,2.1,5.1,-1.4,2.3,1.4,1.7,-3.4,0.2,-1.9,NA,-1.1,-1.5,0.2,-2.3,2,0.1,2.2,NA,4.1,5.1
2084,3.9,0.3,0.9,5.5,1.1,1.3,-6.6,-3.7,-3.8,NA,-0.1,-0.1,0.8,2.4,1.2,0.2,2.3,NA,3.4,5.5
2085,2.3,3.3,-0.5,4.9,1.8,2,-3.4,-5.2,1.5,NA,-0.7,1.5,2.7,1.5,0.3,-2.3,0.9,NA,2.4,4.9
2086,2.3,1.9,-1.4,3.3,0.5,1,-3.4,2.2,1.9,NA,-0.6,0.8,0.4,1.9,0.8,-1.1,3.4,NA,2.4,3.4
2087,2.7,2.2,2,3.7,0,2.7,-0.9,-3,-1,NA,0,0.3,-4.7,-0.9,0.1,-1.3,2.2,NA,0.7,3.7
2088,3,3.4,-1.6,4,2.4,1.7,-0.9,-0.4,-0.8,NA,-2.5,0.5,0.3,0.8,-0.8,-0.6,1.8,NA,1.8,4
2089,2.4,1.5,-4.4,2.1,0.2,0.5,-2.9,0,-0.1,NA,-0.9,0.4,-2.9,-3.1,1.5,-0.5,0.9,NA,3.5,3.5
2090,1.8,0.8,0.7,4.7,1.3,-0.9,-0.7,1.2,-0.9,NA,-2,1.1,2.9,0.8,1.6,0.8,2.6,NA,3.3,4.7
2091,1.8,2.1,-4.3,4.5,1.6,1.7,-5.6,-0.5,-3.8,NA,0.9,0,-2.7,2.2,1.3,2.2,3.7,NA,3.7,4.5
2092,2.8,0.7,0.4,2.6,3.2,3.3,-5.4,-0.9,-4.3,NA,-2.2,0,0.4,5.4,0.4,0.7,2.7,NA,4.8,5.4
2093,2.2,4.7,0.4,3.3,0.7,2.4,-3.7,-0.5,0.4,NA,-0.9,2,-1.6,0.9,5.4,0.9,3.4,NA,3.7,5.4
2094,1.9,4.5,0.5,3.8,2.6,3.1,-4.1,1.9,-1.4,NA,-0.2,-0.3,-0.6,0.6,4.7,-1.2,4,NA,4.9,4.9
2095,3.3,0.4,4.8,6.6,0.4,1.4,-2.9,0.2,-1,NA,-2,-0.7,3.5,2.3,-0.3,1.9,2.9,NA,3.7,6.6
2096,2.9,-0.3,-0.4,2.7,1.9,0.3,-4,1.4,-1.4,NA,-1.5,-0.2,-2.5,3.5,0.9,-1.2,2.4,NA,2.4,3.5
2097,2.3,0.6,-3.5,4.7,1.6,2.8,-0.8,-0.1,-0.4,NA,-2.3,0.4,0.3,-2.1,1.1,2.9,2.7,NA,4.4,4.7
2098,2.5,5,1.3,5.9,2.7,0.2,-3.3,-2,-0.5,NA,-0.9,1.8,2,-0.2,0.3,1.6,0.8,NA,4.2,5.9
2099,1.9,4.3,3.6,4.6,2.7,1.5,-1.9,-0.9,0.1,NA,-0.4,0.1,-4.5,1,0.2,0.6,1.3,NA,4.9,4.9
2100,2.3,3.2,-1.8,5,1.7,-0.4,-3.4,0.3,-2.9,NA,0.2,0,0.6,4.3,0.2,-0.9,1.1,NA,4.1,5
